class,response_pattern,n,within_class_prop,overall_prop
1,0-0-1-0-0-1-0-0-1,201,0.21180189673340358,0.0714539637397796
1,0-0-1-0-0-1-0-0-0,115,0.12118018967334036,0.04088162104514753
1,0-1-1-0-0-1-0-0-1,108,0.11380400421496312,0.03839317454674725
1,1-0-1-0-0-1-0-0-1,58,0.06111696522655427,0.020618556701030927
1,0-1-1-0-0-1-0-0-0,54,0.05690200210748156,0.019196587273373623
1,0-0-1-0-0-1-1-0-1,45,0.04741833508956796,0.015997156061144685
1,0-0-0-0-0-1-0-0-1,39,0.0410958904109589,0.013864201919658727
1,0-1-1-0-0-1-1-0-1,38,0.040042149631190724,0.0135087095627444
1,0-1-0-0-0-1-0-0-1,36,0.037934668071654375,0.012797724848915748
1,1-0-1-0-0-1-0-0-0,34,0.03582718651211802,0.012086740135087096
1,1-0-1-0-0-1-1-0-1,29,0.030558482613277135,0.010309278350515464
1,0-1-1-0-1-1-0-0-1,20,0.02107481559536354,0.007109847138286527
1,0-0-1-0-1-1-0-0-1,19,0.020021074815595362,0.0067543547813722
1,0-0-1-0-0-1-1-0-0,18,0.018967334035827187,0.006398862424457874
1,0-0-1-0-0-1-0-1-1,13,0.0136986301369863,0.004621400639886242
1,0-1-1-0-1-1-1-0-1,10,0.01053740779768177,0.0035549235691432635
1,0-0-1-0-1-1-0-0-0,9,0.009483667017913594,0.003199431212228937
1,0-0-1-0-1-1-1-0-1,9,0.009483667017913594,0.003199431212228937
1,0-1-0-0-1-1-0-0-0,9,0.009483667017913594,0.003199431212228937
1,0-1-1-0-0-1-1-0-0,8,0.008429926238145416,0.0028439388553146107
1,0-1-0-0-0-1-1-0-1,7,0.007376185458377239,0.002488446498400284
1,0-1-1-0-1-1-0-0-0,7,0.007376185458377239,0.002488446498400284
1,0-0-0-0-0-1-1-0-0,5,0.005268703898840885,0.0017774617845716318
1,0-0-0-0-1-1-0-0-0,5,0.005268703898840885,0.0017774617845716318
1,0-0-1-0-0-1-1-1-1,5,0.005268703898840885,0.0017774617845716318
1,0-1-0-0-1-1-0-0-1,4,0.004214963119072708,0.0014219694276573053
1,0-0-1-0-1-1-1-0-0,3,0.003161222339304531,0.001066477070742979
1,0-1-1-0-0-1-0-1-1,3,0.003161222339304531,0.001066477070742979
1,0-1-1-0-1-1-1-0-0,3,0.003161222339304531,0.001066477070742979
1,1-0-1-0-0-1-0-1-1,3,0.003161222339304531,0.001066477070742979
1,1-0-1-0-0-1-1-0-0,3,0.003161222339304531,0.001066477070742979
1,0-0-1-0-0-1-0-1-0,2,0.002107481559536354,7.109847138286527e-4
1,0-0-1-0-1-1-0-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-0-1-1-0-1-0-0-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-0-0-0-1-0-1-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-0-0-0-1-0-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-1-0-0-0-1-1-0-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-0-0-0-0-1,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-0-1-0-1-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-0-1-1-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-1-1-0-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-0-0-0-1-1-0-0-1,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-0-0-1-1-1-0-1,1,0.001053740779768177,3.5549235691432633e-4
