response_pattern,n,overall_prop
1-0-1-1-0-0-0-1-0,2,7.109847138286527e-4
1-0-1-1-0-1-0-0-0,11,0.0039104159260575895
1-0-1-1-0-1-0-0-1,22,0.007820831852115179
1-0-1-1-0-1-0-1-0,2,7.109847138286527e-4
1-0-1-1-0-1-0-1-1,1,3.5549235691432633e-4
1-0-1-1-0-1-1-0-0,1,3.5549235691432633e-4
1-0-1-1-0-1-1-0-1,2,7.109847138286527e-4
1-0-1-1-0-1-1-1-0,2,7.109847138286527e-4
1-0-1-1-1-0-0-0-0,1,3.5549235691432633e-4
1-0-1-1-1-0-0-0-1,1,3.5549235691432633e-4
1-0-1-1-1-0-1-0-0,1,3.5549235691432633e-4
1-0-1-1-1-1-0-0-0,5,0.0017774617845716318
1-0-1-1-1-1-0-0-1,19,0.0067543547813722
1-0-1-1-1-1-0-1-0,2,7.109847138286527e-4
1-0-1-1-1-1-0-1-1,5,0.0017774617845716318
1-0-1-1-1-1-1-0-0,2,7.109847138286527e-4
1-0-1-1-1-1-1-0-1,2,7.109847138286527e-4
1-0-1-1-1-1-1-1-1,41,0.01457518663348738
1-1-0-0-0-0-0-0-0,61,0.021685033771773908
1-1-0-0-0-0-0-0-1,4,0.0014219694276573053
1-1-0-0-0-0-0-1-1,3,0.001066477070742979
1-1-0-0-0-0-1-0-1,1,3.5549235691432633e-4
1-1-0-0-0-1-0-0-0,56,0.019907571987202274
1-1-0-0-0-1-0-0-1,61,0.021685033771773908
1-1-0-0-0-1-0-1-0,2,7.109847138286527e-4
1-1-0-0-0-1-0-1-1,4,0.0014219694276573053
1-1-0-0-0-1-1-0-0,4,0.0014219694276573053
1-1-0-0-0-1-1-0-1,12,0.004265908282971916
1-1-0-0-0-1-1-1-0,1,3.5549235691432633e-4
1-1-0-0-0-1-1-1-1,1,3.5549235691432633e-4
1-1-0-0-1-0-0-0-0,1,3.5549235691432633e-4
1-1-0-0-1-0-1-0-0,1,3.5549235691432633e-4
1-1-0-0-1-1-0-0-0,11,0.0039104159260575895
1-1-0-0-1-1-0-0-1,19,0.0067543547813722
1-1-0-0-1-1-0-1-0,1,3.5549235691432633e-4
1-1-0-0-1-1-0-1-1,3,0.001066477070742979
1-1-0-0-1-1-1-0-0,3,0.001066477070742979
1-1-0-0-1-1-1-0-1,10,0.0035549235691432635
1-1-0-0-1-1-1-1-1,1,3.5549235691432633e-4
1-1-0-1-0-0-0-0-0,10,0.0035549235691432635
1-1-0-1-0-0-0-0-1,2,7.109847138286527e-4
1-1-0-1-0-1-0-0-0,27,0.009598293636686812
1-1-0-1-0-1-0-0-1,22,0.007820831852115179
1-1-0-1-0-1-0-1-0,1,3.5549235691432633e-4
1-1-0-1-0-1-1-0-0,2,7.109847138286527e-4
1-1-0-1-0-1-1-0-1,4,0.0014219694276573053
1-1-0-1-0-1-1-1-1,2,7.109847138286527e-4
1-1-0-1-1-0-0-0-1,3,0.001066477070742979
1-1-0-1-1-0-0-1-1,1,3.5549235691432633e-4
1-1-0-1-1-0-1-0-1,2,7.109847138286527e-4
