response_pattern,n,C1_prob,C2_prob,C3_prob,C4_prob
1-0-1-1-1-1-0-0-1,19,0.003,0.529,0.468,0
1-1-0-0-1-1-0-0-1,19,0.027,0.951,0.022,0
1-1-1-0-1-1-0-0-0,19,0.054,0.924,0.021,0.001
0-0-1-0-0-1-1-0-0,18,0.99,0.008,0,0.002
1-1-1-1-1-1-0-0-0,18,0.001,0.958,0.041,0
1-1-1-1-1-1-0-0-1,18,0.001,0.817,0.182,0
1-0-1-0-1-1-1-0-1,17,0.062,0.101,0.837,0
1-1-1-1-0-1-1-0-1,17,0.003,0.843,0.155,0
1-0-1-0-1-1-0-0-0,16,0.247,0.685,0.063,0.005
1-0-0-0-0-1-0-0-1,15,0.348,0.65,0.003,0
1-1-1-0-0-0-0-0-0,15,0.005,0.662,0,0.333
0-0-1-0-0-1-0-1-1,13,0.99,0.009,0.001,0
1-1-0-1-1-1-0-0-1,13,0,0.958,0.041,0
1-1-0-0-0-1-1-0-1,12,0.09,0.893,0.017,0
0-0-1-0-0-0-0-0-0,11,0.021,0.004,0,0.975
1-0-1-1-0-1-0-0-0,11,0.011,0.972,0.008,0.009
1-1-0-0-1-1-0-0-0,11,0.018,0.955,0.004,0.023
1-1-1-1-1-1-1-1-1,11,0,0.019,0.981,0
0-1-1-0-0-0-0-0-0,10,0.023,0.03,0,0.947
0-1-1-0-1-1-1-0-1,10,0.819,0.091,0.089,0
1-0-0-1-0-0-0-0-0,10,0,0.18,0,0.82
1-0-1-0-1-1-1-0-0,10,0.139,0.333,0.527,0
1-1-0-0-1-1-1-0-1,10,0.023,0.697,0.28,0
1-1-0-1-0-0-0-0-0,10,0,0.606,0,0.394
1-1-1-0-1-1-1-0-0,10,0.046,0.682,0.271,0
0-0-1-0-1-1-0-0-0,9,0.956,0.029,0.001,0.013
0-0-1-0-1-1-1-0-1,9,0.919,0.017,0.065,0
0-1-0-0-1-1-0-0-0,9,0.413,0.238,0,0.349
1-1-1-0-1-1-1-1-1,9,0.003,0.034,0.964,0
0-1-1-0-0-1-1-0-0,8,0.949,0.05,0,0.001
1-0-0-1-0-1-0-0-0,8,0.003,0.822,0.001,0.173
1-1-0-1-1-1-1-0-1,8,0,0.572,0.427,0
1-1-1-0-0-1-0-1-1,8,0.158,0.781,0.061,0
1-1-1-1-1-1-1-0-0,8,0,0.574,0.425,0
0-1-0-0-0-1-1-0-1,7,0.9,0.099,0.001,0
0-1-1-0-1-1-0-0-0,7,0.832,0.156,0.002,0.01
1-0-1-0-0-0-0-0-0,7,0.011,0.219,0,0.77
1-0-1-0-1-1-1-1-1,7,0.004,0.009,0.987,0
