sInvented,sProcedural,sConceptual,tInitSelect,tCompare,tDiscussQ,tConnectBigIdeas,tConnectOthers,tPressExplain,condition,seg_num,unit,teacher,groups,C1_prob,C2_prob,C3_prob,C4_prob,class
2,2,2,1,2,2,2,2,2,1,7,1,4040500,whole,0,0.982,0.014,0.004,2
1,2,2,1,2,2,1,2,2,1,8,1,4040500,whole,0,0.612,0.051,0.337,2
1,1,2,1,1,2,1,1,2,1,9,1,4040500,whole,0,0.004,0.011,0.985,4
2,1,1,2,1,2,1,1,1,1,1,2,4040500,whole,0.073,0.006,0.915,0.005,3
1,1,1,1,1,2,1,1,1,1,2,2,4040500,whole,0.828,0,0.006,0.166,1
1,1,1,1,1,1,1,1,1,1,3,2,4040500,whole,1,0,0,0,1
1,2,1,1,1,1,1,1,1,1,4,2,4040500,small_groups,0.998,0,0.001,0,1
2,1,1,1,1,1,1,1,1,1,5,2,4040500,small_groups,0.981,0,0.019,0,1
2,1,1,1,1,1,1,1,1,1,6,2,4040500,small_groups,0.981,0,0.019,0,1
2,1,2,2,1,2,1,1,2,1,7,2,4040500,whole,0,0.101,0.883,0.016,3
2,1,1,2,1,2,1,1,2,1,8,2,4040500,whole,0,0.026,0.968,0.006,3
1,2,2,1,1,2,2,1,2,1,9,2,4040500,whole,0,0.06,0.014,0.926,4
2,2,1,1,1,2,1,1,1,1,1,3,4040500,small_groups,0.228,0.002,0.707,0.064,3
2,2,2,1,1,2,1,1,1,1,2,3,4040500,small_groups,0.015,0.007,0.776,0.201,3
2,2,2,1,1,2,1,1,1,1,3,3,4040500,small_groups,0.015,0.007,0.776,0.201,3
2,2,2,2,1,2,1,1,2,1,4,3,4040500,whole,0,0.053,0.943,0.004,3
2,2,2,2,1,1,1,1,2,1,5,3,4040500,whole,0,0.003,0.996,0,3
2,1,2,2,1,1,1,1,2,1,6,3,4040500,whole,0,0.007,0.992,0,3
2,2,2,1,1,2,1,1,1,1,7,3,4040500,whole,0.015,0.007,0.776,0.201,3
2,2,1,2,1,1,1,1,1,1,8,3,4040500,whole,0.29,0,0.71,0,3
2,2,2,1,1,2,1,1,2,1,9,3,4040500,whole,0,0.028,0.754,0.217,3
2,2,2,1,1,2,2,1,2,1,10,3,4040500,whole,0,0.339,0.35,0.311,3
1,1,1,1,1,1,1,1,1,1,1,5,4040500,whole,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,2,5,4040500,whole,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,3,5,4040500,whole,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,4,5,4040500,whole,1,0,0,0,1
1,2,1,1,1,2,1,1,1,1,5,5,4040500,small_groups,0.764,0,0.03,0.206,1
1,2,2,1,2,2,1,1,2,1,6,5,4040500,small_groups,0,0.128,0.101,0.77,4
1,2,1,1,2,2,1,1,2,1,7,5,4040500,small_groups,0.001,0.074,0.254,0.671,4
1,2,2,1,1,2,2,1,2,1,8,5,4040500,whole,0,0.06,0.014,0.926,4
1,2,2,1,2,2,1,2,2,1,9,5,4040500,small_groups,0,0.612,0.051,0.337,2
1,2,2,1,2,2,2,1,2,1,10,5,4040500,small_groups,0,0.573,0.017,0.409,2
1,2,2,1,2,2,1,1,1,1,11,5,4040500,small_groups,0.01,0.039,0.121,0.83,4
1,2,2,1,1,2,1,1,2,1,12,5,4040500,small_groups,0,0.007,0.043,0.949,4
2,1,2,2,1,2,1,1,1,1,1,6,4040500,whole,0.005,0.028,0.952,0.015,3
2,1,2,2,1,2,1,1,2,1,2,6,4040500,whole,0,0.101,0.883,0.016,3
2,1,2,1,1,2,1,1,1,1,3,6,4040500,whole,0.051,0.009,0.449,0.491,4
2,1,2,1,1,2,1,1,2,1,4,6,4040500,whole,0,0.033,0.437,0.53,4
2,2,2,2,1,2,1,1,2,1,5,6,4040500,whole,0,0.053,0.943,0.004,3
2,1,2,1,1,2,1,1,2,1,6,6,4040500,whole,0,0.033,0.437,0.53,4
2,2,2,2,1,2,1,1,1,1,7,6,4040500,whole,0.001,0.014,0.981,0.004,3
2,2,2,1,1,2,1,1,2,1,8,6,4040500,whole,0,0.028,0.754,0.217,3
2,1,2,1,1,2,1,1,1,1,9,6,4040500,whole,0.051,0.009,0.449,0.491,4
