     0.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.422     0.054     0.369     0.155     2.000     1.000     3.000
     1.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.056     0.192     0.062     0.690     2.000     2.000     4.000
     1.000     0.000     0.000     1.000     0.000     1.000     1.000     0.000     0.000     1.000     0.357     0.056     0.388     0.199     2.000     1.000     3.000
     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.169     0.001     0.816     0.014     2.000     1.000     3.000
     0.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     1.000     1.000     0.794     0.016     0.177     0.012     1.000     1.000     1.000
     1.000     0.000     1.000     0.000     1.000     1.000     0.000     1.000     1.000     1.000     0.811     0.017     0.161     0.011     1.000     1.000     1.000
     0.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.176     0.122     0.213     0.488     2.000     2.000     4.000
     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     0.186     0.513     0.030     0.271     1.000     2.000     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.028     0.003     0.744     0.225     2.000     1.000     3.000
     1.000     0.000     1.000     0.000     1.000     1.000     0.000     1.000     1.000     0.000     0.721     0.083     0.143     0.054     1.000     1.000     1.000
     1.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     1.000     1.000     0.710     0.090     0.142     0.059     1.000     1.000     1.000
     1.000     0.000     1.000     0.000     1.000     0.000     1.000     1.000     0.000     1.000     0.710     0.090     0.141     0.059     1.000     1.000     1.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.135     0.012     0.655     0.198     2.000     1.000     3.000
     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.016     0.054     0.076     0.855     2.000     2.000     4.000
     1.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     0.227     0.115     0.247     0.410     2.000     2.000     4.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.947     0.005     0.047     0.001     1.000     1.000     1.000
     0.000     1.000     0.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     0.796     0.017     0.175     0.012     1.000     1.000     1.000
     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.041     0.623     0.007     0.329     1.000     2.000     2.000
     0.000     0.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000     0.516     0.263     0.083     0.139     1.000     1.000     1.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.069     0.035     0.335     0.560     2.000     2.000     4.000
     1.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.688     0.107     0.135     0.069     1.000     1.000     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.986     0.005     0.009     0.000     1.000     1.000     1.000
     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000     0.000     0.000     0.562     0.353     0.028     0.058     1.000     1.000     1.000
     0.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.812     0.004     0.180     0.003     1.000     1.000     1.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.561     0.352     0.028     0.058     1.000     1.000     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.855     0.133     0.008     0.004     1.000     1.000     1.000
     0.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.433     0.272     0.097     0.199     1.000     1.000     1.000
     1.000     0.000     0.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     0.426     0.297     0.084     0.192     1.000     1.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.011     0.019     0.969     2.000     2.000     4.000
     0.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.189     0.118     0.228     0.466     2.000     2.000     4.000
     0.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     1.000     0.000     0.129     0.015     0.622     0.234     2.000     1.000     3.000
     0.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.788     0.022     0.174     0.016     1.000     1.000     1.000
     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000     0.316     0.036     0.473     0.176     2.000     1.000     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.003     0.011     0.073     0.914     2.000     2.000     4.000
     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.856     0.004     0.138     0.002     1.000     1.000     1.000
     1.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.233     0.649     0.012     0.106     1.000     2.000     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000     0.877     0.112     0.008     0.003     1.000     1.000     1.000
     0.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.120     0.003     0.801     0.076     2.000     1.000     3.000
